Character ID,Character Name,Species,Episode Count,Avg Rating (Weighted),Total IMDB Votes,Series,Popularity Score
6692,Worf,Klingon,280,7.35,106760,"DS9, TNG, PIC",8.51
2800,Jean-Luc Picard,Unknown,208,7.29,97748,"TNG, PIC, DS9, ENT",8.372
3181,Kathryn Janeway,Human,187,6.95,165439,"VOY, PRO",8.351
1363,Deanna Troi,Betazoid,178,7.36,80392,"TNG, VOY, PIC, LD, ENT",8.308
6661,William T. Riker,Human,192,7.29,87964,"TNG, VOY, PIC, LD, ENT",8.302
4275,Miles O'Brien,Human,221,7.42,71724,"DS9, TNG",8.298
1294,Data,Unknown,183,7.29,87641,"TNG, PIC, ENT",8.294
2025,Geordi La Forge,Unknown,176,7.3,80397,"TNG, PIC, VOY",8.245
623,Beverly Crusher,Human,164,7.39,67038,"TNG, PIC, PRO",8.211
2238,Gwyndala,Unknown,19,6.95,114153,PRO,8.089
2754,Jankom Pog,Unknown,19,6.95,114153,PRO,8.089
4401,Murf,Mellanoid slime worm,19,6.95,114153,PRO,8.089
1236,Dal R'El,Human,19,6.95,114153,PRO,8.089
5307,Rok-Tahk,Brikar,19,6.95,114153,PRO,8.089
6132,The Diviner,Vau N'Akat,19,6.95,114153,PRO,8.089
6799,Zero,Medusan,19,6.95,114153,PRO,8.089
5740,Spock,Human,126,7.31,63679,"TOS, SNW, TAS, DIS, PRO, TNG",8.084
1513,Drednok,Unknown,16,6.94,112983,PRO,8.072
2729,James T. Kirk,Human,102,7.36,53728,"TOS, SNW, TAS, ENT",8.022
553,Batel,Human,2,9.09,6075,SNW,7.917
3878,Maat Al-Salah,Human,1,9.1,6000,SNW,7.917
2038,George Samuel Kirk,Human,6,9.05,6279,"SNW, TOS",7.913
3468,Kyle,Human,18,8.96,6823,"SNW, TAS, TOS, TNG",7.907
2821,Jenna Mitchell,Human,4,9.04,6197,SNW,7.896
1707,Erica Ortegas,Human,10,8.99,6532,SNW,7.893
3511,La'an Noonien-Singh,Human,10,8.99,6532,SNW,7.893
3013,Joseph M'Benga,Human,11,8.97,6545,"TOS, SNW",7.883
4499,Nelson,Human,58,7.6,30032,"TNG, VOY",7.837
6601,Wesley Crusher,Human,70,7.17,54499,"TNG, PIC",7.823
4961,Quark,Ferengi,170,7.54,31919,"DS9, VOY, TNG, LD",7.818
2705,Jake Sisko,Human,146,7.69,25404,DS9,7.798
3322,Kira Nerys,Bajoran,174,7.47,33975,"DS9, LD",7.792
3044,Julian Bashir,Changeling,174,7.47,33994,"DS9, TNG",7.792
591,Benjamin Sisko,Human,173,7.47,33961,DS9,7.792
4345,Montgomery Scott,Human,86,7.21,46222,"TOS, SNW, TAS, PRO, TNG",7.745
3630,Leslie,Human,56,7.48,31315,TOS,7.745
2260,Hadley,Orion,65,7.48,31527,"TOS, DIS",7.743
1031,Christopher Pike,Human,27,8.29,11265,"SNW, DIS, TOS",7.734
6392,Una Chin-Riley,Illyrian,16,8.33,10803,"SNW, DIS, TOS",7.734
4625,Odo,Changeling,173,7.45,31992,"DS9, PRO, PIC",7.727
3619,Leonard McCoy,Human,96,7.18,45993,"TOS, TAS, TNG",7.713
756,Brent,Human,41,7.85,17696,TOS,7.674
788,Broik,Ferengi,89,7.58,23947,"DS9, VOY",7.645
1279,Darien Wallace,Human,64,7.07,49149,TNG,7.635
2999,Jones,Human,86,7.76,18362,"DS9, TNG",7.622
948,Chakotay,Human,175,7.0,53749,"VOY, PRO",7.62
5374,Russell,Human,71,7.41,28275,"TNG, VOY",7.598
4683,Osborne,Human,3,8.69,6092,TOS,7.573
4042,Martinez,Human,84,7.2,36974,TNG,7.573
3529,Landru,Unknown,2,8.7,6019,"LD, TOS",7.571
6359,Tula,Unknown,1,8.7,6000,TOS,7.569
5131,Reger,Unknown,1,8.7,6000,TOS,7.569
4025,Marplon,Unknown,1,8.7,6000,TOS,7.569
2255,Hacom,Unknown,1,8.7,6000,TOS,7.569
3673,Lindstrom,Human,1,8.7,6000,TOS,7.569
6004,Tamar,Teplan,2,8.7,6023,"DS9, TOS",7.568
6370,Tuvok,Vulcan,171,6.96,51428,"VOY, PIC, DS9",7.552
6249,Tom Paris,Human,169,6.96,51299,"VOY, LD",7.545
4488,Neelix,Unknown,168,6.96,51286,VOY,7.545
2313,Harry Kim,Human,168,6.96,51286,VOY,7.545
464,B'Elanna Torres,Klingon,167,6.96,51257,VOY,7.543
6133,The Doctor,Unknown,167,6.96,51257,VOY,7.543
294,Angela Martine,Human,4,8.1,11091,"SNW, TOS",7.54
4598,Nyota Uhura,Human,90,7.2,35280,"TOS, SNW, TAS, PRO",7.539
5281,Robert Tomlinson,Human,2,8.1,11000,"SNW, TOS",7.538
2292,Hansen Al-Salah,Human,2,8.1,11000,"SNW, TOS",7.538
1370,Decius,Romulan,2,8.1,11000,"SNW, TOS",7.538
5579,Seven of Nine,Human,126,7.0,47004,"VOY, PIC",7.532
6752,Youngblood,Human,41,7.23,33470,TNG,7.528
4368,Morn,Lurian,95,7.46,24181,"DS9, TNG, VOY",7.526
2693,Jadzia Dax,Trill,151,7.61,19613,DS9,7.524
406,Ash Tyler,Klingon,25,7.45,24036,DIS,7.514
4864,Phlox,Overlooker,99,7.19,33718,"ENT, DIS, VOY",7.498
975,Charles Tucker III,Human,98,7.19,33691,"ENT, DIS",7.497
3926,Malcolm Reed,Human,98,7.19,33691,"ENT, DIS",7.497
5907,T'Pol,Vulcan,98,7.19,33691,"ENT, DIS",7.497
2992,Jonathan Archer,Human,98,7.19,33691,"ENT, DIS",7.497
6324,Travis Mayweather,Human,98,7.19,33691,"ENT, DIS",7.497
2438,Hoshi Sato,Human,98,7.19,33691,"ENT, DIS",7.497
1025,Christine Chapel,Human,38,7.93,11907,"TOS, SNW, TAS",7.441
5872,Sylvia Tilly,Human,46,7.09,35754,DIS,7.436
457,Ayala,Human,124,7.02,38443,VOY,7.412
2394,Hikaru Sulu,Human,68,7.1,34165,"TAS, TOS, LD, VOY",7.408
129,Airiam,Unknown,24,7.48,19966,DIS,7.402
1948,Gabriel Lorca,Human,15,7.48,19664,DIS,7.395
4208,Michael Burnham,Human,55,6.97,38988,"DIS, SNW",7.366
4789,Paul Stamets,Human,54,6.97,38932,DIS,7.362
5509,Saru,Kelpien,53,6.97,38899,DIS,7.362
3281,Keyla Detmer,Unknown,49,6.97,38742,DIS,7.36
2886,Joann Owosekun,Human,46,6.96,38528,DIS,7.354
2710,James,Human,6,8.56,5292,TOS,7.34
594,Bennett,Human,58,7.11,30091,"TNG, ENT, DS9",7.328
1429,Diana Giddings,Human,58,7.13,29060,TNG,7.328
4089,Matt Decker,Human,1,8.6,5000,TOS,7.325
4730,Palmer,Human,4,8.56,5119,"TNG, TOS",7.314
2694,Jae,Human,63,7.4,19219,TNG,7.301
5245,Ro Laren,Bajoran,9,8.05,8284,"TNG, PIC",7.266
2227,Guinan,El-Aurian,33,7.29,21243,"TNG, PIC",7.265
5320,Ronald A. Bryce,Human,39,7.02,29322,DIS,7.224
1530,Dukat,Cardassian,35,7.7,11791,DS9,7.217
509,Bailey,Human,21,7.63,12726,TNG,7.211
1242,Damar,Cardassian,23,7.85,8468,DS9,7.099
1647,Ellen Landry,Unknown,5,7.47,13121,DIS,7.079
4278,Milton Richter,Human,3,7.47,13059,DIS,7.078
1754,Ezri Dax,Trill,25,7.28,16393,DS9,7.061
4776,Patti,Human,14,7.79,8458,TNG,7.045
1630,Elim Garak,Cardassian,37,7.46,11804,DS9,6.997
6251,Tomalak,Romulan,4,7.77,8143,TNG,6.997
2450,Hugh Culber,Human,40,6.84,27346,DIS,6.986
1988,Garvey,Human,33,7.42,12136,TNG,6.982
3907,Maggie Hubbell,Human,6,7.65,9157,"TNG, DS9",6.975
171,Alex,Human,35,7.51,10666,"ENT, DIS",6.964
1145,Culhane,Human,56,7.13,17074,VOY,6.949
4570,Nog,Ferengi,46,7.72,8061,DS9,6.946
1265,Daniels,Human,14,7.92,6334,"ENT, TNG",6.932
3178,Katherine Pulaski,Human,20,6.98,20641,TNG,6.931
4044,Martok,Klingon,25,7.61,8494,"DS9, LD",6.889
4214,Michael Eddington,Human,9,8.48,3200,DS9,6.844
5311,Rom,Ferengi,37,7.44,9842,DS9,6.841
6015,Tanner,Human,36,7.13,14610,ENT,6.841
5341,Rossi,Human,26,7.14,14417,ENT,6.837
4472,Natasha Yar,Human,28,6.86,21148,"TNG, PIC",6.835
5801,Stone,Human,2,7.71,7063,"DIS, TOS",6.833
2305,Harrington,Human,2,7.7,7048,DIS,6.823
1073,Cold,Human,1,7.7,7000,DIS,6.817
3410,Kowski,Human,1,7.7,7000,DIS,6.817
5806,Straal,Human,1,7.7,7000,DIS,6.817
4944,Psycho,Human,1,7.7,7000,DIS,6.817
3138,Kane,Human,2,8.2,4044,TNG,6.813
5464,Samuel Clemens,Human,2,8.2,4041,TNG,6.811
2674,Jack London,Human,2,8.2,4041,TNG,6.811
2287,Hanor Pren,Trill,1,8.5,3000,DS9,6.806
3610,Lenara Kahn,Trill,1,8.5,3000,DS9,6.806
565,Bejal Otner,Trill,1,8.5,3000,DS9,6.806
2013,Gen Rhys,Human,43,6.71,25477,DIS,6.804
3431,Kristin,Human,1,8.2,4000,TNG,6.801
3291,Kieran MacDuff,Unknown,1,8.2,4000,TNG,6.801
902,Carmichael,Human,1,8.2,4000,TNG,6.801
344,Apollinaire,Human,1,8.2,4000,TNG,6.801
1999,Gates,Human,46,7.49,8714,TNG,6.793
1804,Female Changeling,Changeling,15,7.76,6265,DS9,6.781
6186,Thy'lek Shran,Andorian,10,8.13,4166,ENT,6.778
3175,Kasidy Yates-Sisko,Human,15,7.74,6311,DS9,6.777
6656,William Ross,Human,12,8.1,4230,DS9,6.767
1355,DeSalle,Human,3,7.91,5101,TOS,6.754
5300,Roger Lemli,Human,34,7.3,10221,TOS,6.742
4859,Philippa Georgiou,Human,27,7.24,11120,DIS,6.741
6330,Trelane,Unknown,1,7.9,5000,TOS,6.729
890,Carl Jaeger,Human,1,7.9,5000,TOS,6.729
6097,Teresa Ross,Human,1,7.9,5000,TOS,6.729
5573,Seskal,Cardassian,2,8.1,4000,DS9,6.718
6468,Velal,Romulan,2,8.1,4000,DS9,6.718
4119,Maxwell Forrest,Human,14,7.67,6270,ENT,6.71
3192,Katrina Cornwell,Human,12,7.25,10481,DIS,6.709
2326,Haynem,Human,21,7.17,10374,ENT,6.627
6678,Winn Adami,Bajoran,14,7.92,4281,DS9,6.625
3217,Keiko O'Brien,Human,27,7.82,4731,"DS9, TNG",6.62
6610,Weyoun 8,Vorta,5,7.96,4071,DS9,6.618
5151,Renlay Sharr,Human,20,7.15,10336,VOY,6.611
408,Ashmore,Human,35,7.27,8685,VOY,6.594
649,Billy,Human,37,6.98,12673,ENT,6.592
3703,Locutus of Borg,Borg,7,7.66,5350,"DS9, PIC, TNG",6.58
4330,Molly O'Brien,Human,14,7.85,4345,"DS9, TNG",6.58
3940,Mandel,Human,2,7.9,4013,"TNG, LD",6.557
4004,Marissa Flores,Human,1,7.9,4000,TNG,6.552
4342,Monroe,Human,1,7.9,4000,TNG,6.552
2789,Jay Gordon Graas,Human,1,7.9,4000,TNG,6.552
4760,Paterson Supra,Human,1,7.9,4000,TNG,6.552
230,Alyssa Ogawa,Human,16,7.74,4676,TNG,6.54
187,Alfonse Pacelli,Human,20,7.04,10661,TNG,6.531
5766,Stella Mudd,Human,2,7.5,6039,"TOS, DIS",6.528
2215,Grimes,Human,2,7.5,6022,"VOY, DIS",6.528
2294,Harcourt Fenton Mudd,Human,5,7.35,7040,"DIS, TOS, TAS",6.512
2487,Icheb,Brunali,12,7.22,8179,"VOY, PIC",6.508
923,Casey,Human,6,7.47,6062,"TNG, LD",6.505
2458,Hutchison,Human,22,7.73,4378,ENT,6.485
2133,Gowron,Klingon,12,7.55,5280,"DS9, TNG",6.475
1152,Curzon Dax,Trill,2,7.6,5023,DS9,6.475
4659,Opaka,Bajoran,3,7.59,5048,DS9,6.474
2774,Jasad,Cardassian,1,7.6,5000,DS9,6.473
1483,Doran,Human,1,7.6,5000,DS9,6.473
2825,Jennifer Sisko,Human,3,7.59,5046,DS9,6.472
692,Bochra,Romulan,1,7.8,4000,TNG,6.47
4757,Patahk,Romulan,1,7.8,4000,TNG,6.47
5133,Reginald Barclay,Human,11,7.7,4262,"VOY, TNG",6.438
6652,William McKenzie,Human,36,7.09,8731,VOY,6.435
2755,Jannar,Xindi-Arboreal,10,8.37,2166,ENT,6.431
