character_name,species,num_episodes,nn_avg_rating,total_votes,series,popularity_score
Worf,Klingon,280,7.04,106760,"DS9, TNG, PIC",4.59
Kathryn Janeway,Human,187,6.94,165439,"VOY, PRO",4.37
Jean-Luc Picard,Unknown,208,6.95,97748,"TNG, PIC, DS9, ENT",4.27
Miles O'Brien,Human,221,6.97,71724,"DS9, TNG",4.21
William T. Riker,Human,192,6.98,87964,"TNG, VOY, PIC, LD, ENT",4.18
Data,Unknown,183,6.95,87641,"TNG, PIC, ENT",4.12
Deanna Troi,Betazoid,178,6.98,80392,"TNG, VOY, PIC, LD, ENT",4.09
Geordi La Forge,Unknown,176,6.97,80397,"TNG, PIC, VOY",4.07
Beverly Crusher,Human,164,7.04,67038,"TNG, PIC, PRO",3.99
Chakotay,Human,175,6.92,53749,"VOY, PRO",3.9
Tuvok,Vulcan,171,6.92,51428,"VOY, PIC, DS9",3.86
Tom Paris,Human,169,6.91,51299,"VOY, LD",3.85
Neelix,Unknown,168,6.9,51286,VOY,3.84
Harry Kim,Human,168,6.9,51286,VOY,3.84
B'Elanna Torres,Klingon,167,6.9,51257,VOY,3.83
The Doctor,Unknown,167,6.9,51257,VOY,3.83
Kira Nerys,Bajoran,174,7.0,33975,"DS9, LD",3.77
Julian Bashir,Changeling,174,7.0,33994,"DS9, TNG",3.77
Benjamin Sisko,Human,173,7.0,33961,DS9,3.77
Odo,Changeling,173,7.0,31992,"DS9, PRO, PIC",3.75
Quark,Ferengi,170,6.99,31919,"DS9, VOY, TNG, LD",3.73
Spock,Human,126,6.87,63679,"TOS, SNW, TAS, DIS, PRO, TNG",3.68
Seven of Nine,Human,126,7.02,47004,"VOY, PIC",3.66
Ayala,Human,124,6.96,38443,VOY,3.55
Jake Sisko,Human,146,6.99,25404,DS9,3.54
Jadzia Dax,Trill,151,6.98,19613,DS9,3.46
James T. Kirk,Human,102,6.79,53728,"TOS, SNW, TAS, ENT",3.43
Phlox,Overlooker,99,6.99,33718,"ENT, DIS, VOY",3.36
Travis Mayweather,Human,98,6.99,33691,"ENT, DIS",3.35
Malcolm Reed,Human,98,6.99,33691,"ENT, DIS",3.35
Jonathan Archer,Human,98,6.99,33691,"ENT, DIS",3.35
Hoshi Sato,Human,98,6.99,33691,"ENT, DIS",3.35
Charles Tucker III,Human,98,6.99,33691,"ENT, DIS",3.35
Leonard McCoy,Human,96,6.81,45993,"TOS, TAS, TNG",3.35
T'Pol,Vulcan,98,6.99,33691,"ENT, DIS",3.35
Martinez,Human,84,6.99,36974,TNG,3.26
Montgomery Scott,Human,86,6.78,46222,"TOS, SNW, TAS, PRO, TNG",3.25
Nyota Uhura,Human,90,6.86,35280,"TOS, SNW, TAS, PRO",3.24
Morn,Lurian,95,6.89,24181,"DS9, TNG, VOY",3.18
Wesley Crusher,Human,70,6.8,54499,"TNG, PIC",3.16
Darien Wallace,Human,64,7.0,49149,TNG,3.16
Broik,Ferengi,89,6.93,23947,"DS9, VOY",3.14
Jones,Human,86,7.08,18362,"DS9, TNG",3.11
Russell,Human,71,7.04,28275,"TNG, VOY",3.09
Hadley,Orion,65,6.94,31527,"TOS, DIS",3.01
Hikaru Sulu,Human,68,6.72,34165,"TAS, TOS, LD, VOY",2.97
Nelson,Human,58,7.05,30032,"TNG, VOY",2.96
Leslie,Human,56,7.0,31315,TOS,2.93
Jae,Human,63,7.0,19219,TNG,2.87
Bennett,Human,58,6.81,30091,"TNG, ENT, DS9",2.86
Diana Giddings,Human,58,6.73,29060,TNG,2.82
Michael Burnham,Human,55,6.61,38988,"DIS, SNW",2.81
Paul Stamets,Human,54,6.59,38932,DIS,2.79
Saru,Kelpien,53,6.59,38899,DIS,2.78
Keyla Detmer,Unknown,49,6.62,38742,DIS,2.73
Kes,Ocampa,70,6.8,11515,VOY,2.71
Sylvia Tilly,Human,46,6.69,35754,DIS,2.7
Culhane,Human,56,6.8,17074,VOY,2.68
Joann Owosekun,Human,46,6.6,38528,DIS,2.68
Youngblood,Human,41,6.64,33470,TNG,2.59
Elim Garak,Cardassian,37,7.45,11804,DS9,2.54
Brent,Human,41,6.94,17696,TOS,2.54
Gen Rhys,Human,43,6.58,25477,DIS,2.53
Gwyndala,Unknown,19,7.22,114153,PRO,2.52
Dal R'El,Human,19,7.22,114153,PRO,2.52
The Diviner,Vau N'Akat,19,7.22,114153,PRO,2.52
Murf,Mellanoid slime worm,19,7.22,114153,PRO,2.52
Rok-Tahk,Brikar,19,7.22,114153,PRO,2.52
Zero,Medusan,19,7.22,114153,PRO,2.52
Jankom Pog,Unknown,19,7.22,114153,PRO,2.52
Guinan,El-Aurian,33,7.12,21243,"TNG, PIC",2.5
Ronald A. Bryce,Human,39,6.6,29322,DIS,2.5
Dukat,Cardassian,35,7.35,11791,DS9,2.47
Hugh Culber,Human,40,6.5,27346,DIS,2.47
Nog,Ferengi,46,7.08,8061,DS9,2.45
Gates,Human,46,7.02,8714,TNG,2.45
Kellogg,Human,41,7.07,10489,TNG,2.45
Fitzpatrick,Human,44,6.92,10917,"VOY, TOS",2.45
Billy,Human,37,6.94,12673,ENT,2.39
Drednok,Unknown,16,7.22,112983,PRO,2.38
Rom,Ferengi,37,7.08,9842,DS9,2.37
Tanner,Human,36,6.82,14610,ENT,2.36
Garvey,Human,33,7.05,12136,TNG,2.34
Christine Chapel,Human,38,6.78,11907,"TOS, SNW, TAS",2.33
Alex,Human,35,6.93,10666,"ENT, DIS",2.3
Ash Tyler,Klingon,25,6.99,24036,DIS,2.3
William McKenzie,Human,36,6.99,8731,VOY,2.29
Ashmore,Human,35,6.96,8685,VOY,2.26
Natasha Yar,Human,28,6.7,21148,"TNG, PIC",2.25
Ezri Dax,Trill,25,7.11,16393,DS9,2.25
Roger Lemli,Human,34,6.78,10221,TOS,2.23
Porthos,Unknown,37,6.9,6745,"ENT, DIS",2.21
Airiam,Unknown,24,6.93,19966,DIS,2.21
Martok,Klingon,25,7.49,8494,"DS9, LD",2.21
Christopher Pike,Human,27,7.09,11265,"SNW, DIS, TOS",2.2
Rossi,Human,26,6.95,14417,ENT,2.19
Kashimuro Nozawa,Human,38,6.95,4848,VOY,2.16
Damar,Cardassian,23,7.5,8468,DS9,2.15
Rita Tannenbaum,Human,36,6.91,4791,DS9,2.11
Philippa Georgiou,Human,27,6.76,11120,DIS,2.1
Pavel Chekov,Human,35,6.76,5338,TOS,2.08
Nilsson,Human,26,6.39,18759,DIS,2.07
Brad Boimler,Human,30,7.16,4355,LD,2.06
Bailey,Human,21,7.03,12726,TNG,2.06
Sam Rutherford,Unknown,30,7.16,4355,LD,2.06
Jack Ransom,Human,30,7.16,4355,LD,2.06
Beckett Mariner,Human,30,7.16,4355,LD,2.06
D'Vana Tendi,Orion,30,7.16,4355,LD,2.06
Raffaela Musiker,Human,28,7.13,5358,PIC,2.06
Carol Freeman,Human,30,7.16,4355,LD,2.06
