Species,Character Count,Episode Appearances,Avg Rating (Weighted),Total IMDB Votes,Popularity Score
Human,1285,7600,7.19,3256833,10.779
Klingon,134,716,7.26,249290,9.022
Ferengi,53,416,7.51,96563,8.622
Bajoran,117,414,7.5,83607,8.5
Cardassian,57,191,7.71,60512,8.488
Changeling,7,370,7.49,72605,8.383
Vulcan,75,415,7.03,136279,8.317
Betazoid,12,200,7.35,81145,8.313
Romulan,63,144,7.54,57803,8.264
Trill,33,231,7.41,66244,8.227
Vau N'Akat,2,28,6.97,117662,8.141
Brikar,1,19,6.95,114153,8.089
Mellanoid slime worm,1,19,6.95,114153,8.089
Medusan,1,19,6.95,114153,8.089
Orion,19,118,7.25,44388,7.757
Illyrian,1,16,8.33,10803,7.734
Andorian,16,47,8.01,14895,7.7
Overlooker,5,103,7.22,35807,7.569
Lurian,1,95,7.46,24181,7.526
Kelpien,4,60,6.89,47105,7.41
Teplan,6,8,8.16,8138,7.349
El-Aurian,2,34,7.29,21266,7.265
Vorta,13,36,7.8,8803,7.081
Borg,10,52,7.43,13173,7.046
Xindi-Primate,3,14,8.38,4223,6.993
Breen,2,7,7.74,6090,6.748
Xindi-Reptilian,2,10,7.91,4147,6.586
Brunali,6,17,7.23,8284,6.522
Mari,7,7,6.8,14000,6.492
Vorgon,2,2,7.2,8000,6.471
Kantare,5,5,7.0,10000,6.447
Nyrian,3,3,7.4,6000,6.438
Xindi-Arboreal,2,11,8.37,2184,6.433
Zakdorn,2,2,7.7,4039,6.398
Suliban,6,12,7.32,6253,6.398
Zibalian,2,2,7.6,4013,6.306
Ocampa,6,75,6.7,11673,6.27
Caitian,2,31,6.92,8607,6.267
Betarian,1,1,7.2,6000,6.264
Skagaran,4,4,6.9,8000,6.201
Otrin's species,3,3,7.1,6000,6.177
Barzan,5,22,7.25,4827,6.15
Tandaran,3,3,7.07,6000,6.148
Promellian,1,1,7.4,4000,6.138
Xahean,2,4,7.33,4198,6.114
Wysanti,2,12,6.76,8164,6.091
Edosian,2,12,6.59,10225,6.085
Bolian,14,23,7.19,4545,6.059
Tellarite,13,27,6.91,6289,6.043
Kelis' species,4,5,6.7,8021,6.024
Nezu,4,4,6.7,8000,6.022
Denobulan,5,6,7.57,2830,6.019
Axum's species,1,2,7.9,2021,6.013
Iyaaran,3,3,6.6,9000,6.009
Argelian,4,4,6.2,16000,6.002
Benzite,3,3,7.21,4069,5.995
Hupyrian,2,8,7.18,4142,5.98
Zaldan,2,2,7.2,4011,5.974
Haliian,3,13,7.05,4649,5.953
Q,3,24,6.99,4982,5.948
Kazon,15,25,7.05,4525,5.935
Tessic's species,4,4,6.6,8000,5.932
Bynar,4,4,6.1,16000,5.905
The Children of Tama,2,10,7.7,2115,5.893
Risian,3,10,6.62,7194,5.882
Norvalen,1,2,7.69,2019,5.856
Nygean,3,3,7.59,2038,5.786
Fantome's species,1,1,7.6,2000,5.777
Annari,2,2,7.59,2018,5.776
Hirogen,4,7,7.52,2138,5.766
Enderprizian,4,4,7.8,1540,5.725
Kelemane's species,4,4,7.39,2111,5.657
Eska,3,3,6.5,6000,5.655
Jarlath's species,1,1,7.4,2000,5.625
Norcadian,1,5,7.3,2082,5.579
Allasomorph,2,3,6.2,8014,5.577
Kataan native,4,4,9.4,364,5.546
Kzinti,3,3,7.0,2664,5.522
Aquan,6,6,6.4,4956,5.445
Migleemo's species,1,5,7.81,1024,5.411
Taresian,4,4,6.0,8000,5.392
Ramatisian,1,1,6.5,4000,5.391
Ornaran,4,4,7.68,1107,5.383
Mordanite,1,1,6.4,4000,5.308
Retellian,2,2,6.4,4000,5.308
Napean,1,1,6.6,3000,5.284
Nakan,1,1,6.9,2000,5.245
Moxy's species,1,1,7.5,1000,5.182
Arret native,2,2,7.0,1596,5.163
Rigel IV native,1,1,6.2,4000,5.142
Tau's species,1,1,6.7,2000,5.093
Etanian,1,1,6.7,2000,5.093
Coalition of Madena species,5,7,7.41,947,5.079
Dee'Ahn's species,1,1,6.6,2000,5.017
Kwejian,3,18,5.71,6501,5.011
Dramen,2,2,6.8,1584,5.01
Theela's species,2,3,6.51,2037,4.964
Kriosian,3,3,6.43,2074,4.913
Jem'Hadar,17,18,7.99,415,4.819
Farian,3,3,6.32,2044,4.819
Aenar,4,11,7.83,460,4.801
Abaddon's species,1,1,6.3,2000,4.789
Fuchida's species,1,1,6.3,2000,4.789
Mintakan,7,7,8.0,343,4.673
Malcorian,7,7,8.1,287,4.587
Nasari,1,1,6.0,2000,4.561
Reegrunion,1,11,7.78,309,4.462
Megan,2,2,5.9,1856,4.441
Aurelian,2,2,7.42,365,4.381
Tilonian,4,7,8.09,215,4.347
Kukulkan's species,1,1,6.4,779,4.262
Capellan,7,7,7.5,287,4.247
Voth,5,5,8.5,140,4.206
Phylosian,1,1,6.1,918,4.162
Skorr,1,1,6.2,819,4.16
Em/3/Green's species,1,1,6.2,819,4.16
Pandronian,2,2,6.14,822,4.121
Iotian,7,7,7.4,259,4.115
Krenim,2,4,8.65,112,4.09
Talaxian,7,8,7.59,203,4.039
Talosian,1,3,7.76,171,3.993
Eminian,3,3,8.0,141,3.965
Barkonian,4,5,7.73,159,3.922
Kyrian,3,3,8.7,87,3.895
Boslic,4,7,7.46,171,3.842
Yridian,5,6,7.36,178,3.82
Ardanan,5,5,7.3,180,3.795
Elasian,2,2,8.4,86,3.751
Provider,3,3,7.7,129,3.748
Angosian,4,4,7.4,156,3.742
Nameless,1,3,7.33,163,3.74
Aldean,6,6,6.8,234,3.713
Enaran,10,10,6.9,210,3.693
JahSepp,1,4,7.1,179,3.685
Acamarian,8,8,6.5,288,3.683
Malon,5,5,7.71,116,3.669
Kobheerian,1,2,8.58,68,3.633
892-IV native,4,4,7.2,152,3.622
Vissian,5,5,7.6,115,3.613
Majalan,2,2,7.7,102,3.569
Coridanite,4,4,7.37,126,3.569
Arretan,3,3,7.5,114,3.559
Neural native,4,4,7.0,156,3.539
Yaderan,5,5,7.3,125,3.53
Kelvan,3,3,7.4,117,3.53
Pakled,6,6,7.22,132,3.529
Sarpeidon native,2,2,8.1,76,3.518
Omega IV native,4,4,7.0,148,3.503
Vhnori,5,5,7.3,120,3.501
Vaalian,3,3,7.2,123,3.471
Scalosian,3,4,7.1,131,3.466
Ornithoid life form,1,1,8.6,53,3.431
Karemma,3,3,8.14,64,3.398
Arkarian,2,2,7.9,72,3.389
Boraalan,4,4,7.0,124,3.38
Vaadwaur,4,4,7.6,84,3.376
Platonian,5,5,6.5,175,3.361
Tanugan,4,4,6.7,148,3.353
Qomar,5,5,7.1,110,3.344
Angel I native,2,2,7.4,90,3.338
Vori,6,6,6.8,132,3.325
Bre'el IV native,1,1,8.5,48,3.308
Vidiian,4,5,6.92,115,3.291
Triannon,7,7,6.7,133,3.282
Sikarian,3,3,7.6,72,3.261
The Traveler's species,1,3,6.82,117,3.255
Halkan,1,1,8.5,45,3.254
Delbian,1,1,8.4,47,3.252
Tarellian,2,2,7.2,90,3.248
Dinaali,3,3,7.8,63,3.244
Nacene,2,3,7.21,88,3.236
R'ongovian,1,1,8.0,56,3.234
J'naii,3,3,6.8,114,3.227
Takret,4,4,7.4,76,3.214
Rutian,3,3,6.8,111,3.209
T'Lani,3,3,7.4,75,3.205
Pralor,3,3,7.5,69,3.186
Troyian,1,1,8.4,43,3.179
Na'kuhl,3,4,7.3,76,3.171
Markalian,4,4,6.81,102,3.156
Kaelon,2,2,7.3,74,3.152
Ramuran,3,4,6.94,91,3.137
Kesprytt,2,2,7.5,64,3.131
Betelgeusian,2,2,6.94,89,3.121
Ligonian,3,3,6.3,138,3.109
Viorsa's species,3,3,7.1,78,3.102
Horta,1,1,8.1,45,3.101
Tyran,2,2,7.4,64,3.089
Srivani,2,2,8.0,46,3.08
Akritirian,5,5,6.6,105,3.078
Makull's species,3,3,7.1,75,3.075
Devore,2,2,7.9,48,3.075
Brenari,2,2,7.9,48,3.075
Skrreea,5,5,6.4,120,3.069
Brekkian,2,2,6.8,90,3.067
Rakhari,3,3,7.0,78,3.059
Cheron native,2,2,7.1,72,3.046
Edo,2,2,6.8,86,3.037
Ilari,5,5,6.5,105,3.031
Bandi,1,1,6.9,79,3.024
Kobliad,3,3,6.9,78,3.015
Drayan,4,4,6.7,88,3.007
Lokirrim,2,2,7.9,44,3.007
Grazerite,1,2,7.74,47,2.996
Gideon,3,3,6.5,99,2.993
Pelian,3,3,6.4,102,2.966
Vaskan,1,1,8.7,29,2.959
Zalkonian,2,2,6.9,70,2.941
Dosi,2,2,7.4,52,2.938
Tholian,1,1,8.0,38,2.931
Mizarian,2,2,7.45,50,2.928
Varro,2,2,7.5,48,2.919
Zeon,3,3,6.1,117,2.91
Ekosian,3,3,6.1,117,2.91
Augris' species,3,3,6.9,66,2.901
Ledosian,2,2,7.7,42,2.896
Balok's species,1,1,7.0,61,2.889
Dala's species,3,3,7.1,57,2.883
Banea,3,3,6.7,72,2.875
Klaestron,2,2,7.1,56,2.871
Species 571,2,2,7.6,42,2.859
Pomet's species,1,1,7.9,36,2.853
Talura's species,2,2,7.41,45,2.838
Ullian,3,3,6.2,96,2.836
Flaxian,1,1,8.5,27,2.832
Zolan's species,2,2,7.22,49,2.824
B'omar,2,2,7.5,42,2.821
Lethean,2,2,7.2,49,2.815
Xyrillian,2,2,7.2,48,2.802
Gosis' species,3,3,6.9,57,2.802
Kraylor,4,4,6.5,72,2.789
Miradorn,2,2,7.0,52,2.779
Beta Annari,1,1,6.9,55,2.777
Organian,3,3,5.7,129,2.774
Keeper's species,1,1,7.2,46,2.772
Lumerian,4,4,5.7,128,2.77
Haven native,1,1,7.2,45,2.757
Caatati,2,2,7.3,42,2.746
Ktarian,1,1,7.4,39,2.73
Parada/Paradan,1,1,8.1,28,2.728
Akoszonam,2,2,6.3,74,2.721
Chalnoth,1,1,7.4,38,2.711
Palamarian,2,2,7.2,42,2.708
Hagath's species,2,2,7.2,42,2.708
Argrathi,2,2,7.1,44,2.703
Arkonian,2,2,7.3,38,2.674
Cairn,2,2,6.4,64,2.672
Monean,2,2,7.1,42,2.67
Tiburonian,2,2,6.39,63,2.658
Valtese,1,1,7.3,37,2.655
Vagran,1,2,6.71,51,2.652
Tagran,1,1,7.4,35,2.652
Hekaran,2,2,6.4,62,2.652
Garan,1,1,8.3,23,2.638
Ventaxian,1,1,7.2,38,2.638
Sigma Draconis VI native,1,1,7.2,38,2.638
Benkaran,2,2,7.2,38,2.638
Atrean,1,1,7.5,32,2.622
Gelrakian,2,2,7.2,36,2.6
Kobali,2,2,6.9,42,2.595
Menk,1,1,8.0,24,2.575
Valakian,1,1,8.0,24,2.575
Akaali,2,2,6.53,50,2.567
Kostolain native,2,2,6.1,64,2.546
Vian,1,1,7.1,35,2.544
Gem's species,1,1,7.1,35,2.544
Torat's species,1,1,7.9,24,2.543
Xepolite,1,1,7.8,24,2.511
Dreman,1,1,6.8,39,2.508
Species 116,1,1,8.0,22,2.508
Tygarian,1,1,7.6,26,2.505
Kressari,1,1,7.6,26,2.505
Gorn,1,1,8.1,21,2.504
Alshain,1,2,5.9,68,2.498
Osaarian,1,2,6.25,53,2.492
Non-corporeal lifeform,1,1,6.9,36,2.492
Zobral's species,2,2,6.8,38,2.491
Finnean,2,2,6.6,42,2.482
Kalandan,1,1,6.9,35,2.473
Tavnian,1,1,7.7,23,2.447
Rasiinian,1,1,7.7,23,2.447
Entharan,2,2,6.5,42,2.445
Takaran,1,1,7.0,31,2.426
Gamelan V native,1,1,6.7,36,2.419
Halanan,2,2,6.2,48,2.413
Jye,1,1,7.8,21,2.411
Dralian,1,1,7.8,21,2.411
Kellerun,1,1,7.4,25,2.411
Seltin Rakal's species,3,3,5.6,72,2.403
Rakosan,1,1,7.5,23,2.384
Cravic,1,1,7.5,23,2.384
Osnullus,1,1,6.6,36,2.383
Species 6339,1,1,7.6,22,2.383
Benthan,2,2,6.5,38,2.381
Wadi,2,2,5.8,58,2.365
Fabrini,1,1,6.5,37,2.364
Chaos entity,1,1,7.5,22,2.352
Prah Mantoos' species,1,1,7.6,21,2.349
Borothan,1,1,7.6,21,2.349
Excalbian,1,1,6.6,34,2.347
Talarian,1,1,6.4,37,2.328
Allos' species,1,1,7.4,22,2.32
Selay,1,1,6.0,46,2.31
Antican,1,1,6.0,46,2.31
Caldonian,1,1,6.3,37,2.292
Abdon's species,1,1,7.3,22,2.289
Rotciv,1,1,7.2,23,2.288
Tash's species,1,1,7.4,21,2.287
Kesat,1,1,7.4,21,2.287
Dopterian,1,1,6.7,29,2.279
Areore,2,2,6.9,26,2.274
Mikhal Traveler,2,2,6.2,38,2.271
Malurian,1,1,7.2,22,2.258
Serosian,1,1,7.3,21,2.256
Arbazan,1,1,6.9,25,2.248
Trabe,1,1,7.2,21,2.226
Nocona's species,1,1,7.4,19,2.217
Haakonian,1,1,7.0,22,2.195
Sakari,1,1,7.1,21,2.195
Mislenite,1,1,7.1,21,2.195
Penk's species,1,1,7.1,21,2.195
Prime,1,1,7.6,16,2.153
Emi's species,1,1,6.8,22,2.132
Kradin,1,1,6.8,22,2.132
Varn's species,1,1,7.1,19,2.127
Telsian,1,1,7.1,19,2.127
Khwopian,1,1,7.5,16,2.125
Rigelian,1,1,7.5,16,2.125
Riska's species,1,1,6.6,23,2.098
Antarian,1,1,7.0,19,2.097
Imhotep,1,1,7.0,19,2.097
Elaysian,1,1,6.4,25,2.085
Idanian,1,1,6.6,21,2.04
Takarian,1,1,6.5,22,2.038
Oran'taku,1,1,6.9,18,2.032
V'radian,1,1,6.9,18,2.032
Kago's species,1,1,6.9,18,2.032
Antaran,1,1,7.0,17,2.023
Hazari,1,1,6.7,19,2.007
Addix's species,1,1,7.6,13,2.006
Enolian,1,1,6.8,18,2.002
Catullan,1,1,5.4,38,1.978
Kadi,1,1,6.4,21,1.978
Molmol's species,1,1,7.7,12,1.975
Daelen's species,1,1,6.5,19,1.947
Sentient volcano,1,1,7.7,11,1.913
Kromsapiod,1,1,7.7,11,1.913
Trill symbiont,1,1,5.2,38,1.905
Tret's species,1,1,6.0,19,1.797
